,리뷰,평점
0,그 현장에서 같이 뛰어가는 듯 숨이 차고 안타깝고... 자극적인 장면도 없는데 전쟁이 저렇게 무섭고 비극적인 거구나... 비로소 알았습니다!,10
1,배경이 너무 아름답게 펼쳐지지만 전쟁은 너무 참혹함,9
2,,10
3,전장의 모습을 현실적으로 그려낸 영화,10
4,진짜 전쟁터 안에 들어가있는 기분!!!,10
5,단순한 영상미로 그칠 영화가 아니다. 눈요기 말고도 느끼고 생각할게 많은 영화.,9
6,원테이크 형식의 촬영 기법 덕분에 영화를 보는 내내 몰입감 있게 볼 수 있었습니다. 상황에 따라 적절하게 바뀌는 배경 음악의 역할도 돋보이는 영화였습니다.,10
7,촬영기법이 미쳤음 영화보는 내내 전쟁터에 있는 기분,10
8,평점 10점이 남발되어 있어 평점 조절용으로 1점. 영화는 런닝타임 내내 지겨움,1
9,last man standing,10
10,처음엔 자신을 지목해서 여러가지로 피곤한 임무를 맡았다는 사실만으로 동기를 원망했었는데 시간이 지나면서 그 일을 너무나 충실하게 그리고 책임감있게 수행하는 주인공의 모습에 감동을 받았다.너무나 실화같은 장면들에 손에...,9
11,공대생들이 영화 만든 느낌. 재미가 없음,4
12,,10
13,영화 너무 재밌어요!!,10
14,얀출...무엇...밤새고봄...,8
15,연출 스토리 모두 완벽했습니다,10
16,이런영화가 천만관객이 넘어야하지않을까...,9
17,예술 그자체 ㅎㅎㅇㄹ,10
18,,10
19,원테이크 영화는 처음 보는데 마치 내가 주인공옆에 있는 기분이에요. 재밌어요. 몰입도 높아요,10
20,와코로나때매 묻힌영화네..진짜 오랜만에 영화같은영화본다. 진짜재밌었다,10
21,역시.. 전쟁은 해서는 안될것,6
22,스토리보단 연출과 연기력이 돋보이는 영화,10
23,"전우애 ,, 책임감이란 이런게 아닐까",10
24,"나이브스 아웃, 온다, 그리고 1917 오늘 최고의 휴일이었다. 시간가는줄 모르고 봤다.",10
25,전쟁영화에 불필요한요소 섞지않아서 그런지 몰입도 상당히 높습니다. 추천합니다,10
26,롱테이크기법으로 끊이지 않는 전쟁을 표현한 것 같다.,9
27,정말 좋은 영화입니다.우리의 기나긴 인생을 짧은 영화에 담아놓은 착각이듭니다,10
28,스토리는 단조로울지 몰라도 연출은 정말 최고,8
29,올해 최고의 영화를 벌써 만났다,10
30,촬영기법 말곤 남는게 없는 영화. 평점이 너무 높다,1
31,이런 걸 아카데미 작품상 줘야지ㅡㅡ,8
32,이건 말도 안되는 영화다,10
33,교묘하게 편집하기는 했지만 화면 전환 없이 영화가 이어지니까 현장감이 극대화 되면서 몰입도를 최고다. 이것 때문에 비인간적인 1차 세계대전의 참상을 고스란히 느낄 수 있는데 봉준호 감독의 기생충 대신에 아카데미 수상...,10
34,영화가 그냥 훌륭함 보고 후회는 안한다,10
