text,score,reviewer,movie_id
"
관람객




																		라라랜드 보다 재밌다. 10만원이 넘는 비싼 뮤지컬 보다 1만원이 안되는 위대한 쇼맨이 한 수 위. 한해를 마무리하면서 세상을 살아가는데에는 역시 함께와 용기라는 생각을 다시 하게 해 주어서 좋았다. 연말에 가족들이...
																	


",10,"


																		라라랜드 보다 재밌다. 10만원이 넘는 비싼 뮤지컬 보다 1만원이 안되는 위대한 쇼맨이 한 수 위. 한해를 마무리하면서 세상을 살아가는데에는 역시 함께와 용기라는 생각을 다시 하게 해 주어서 좋았다. 연말에 가족들이...
																	

",1
"
관람객


														
															
															
																점왜 이영화 말이 없나 했더니 .. 이런 반전이 .. 졸라 재밌어 
															
														
														
													
",10,"
														
															
															
																점왜 이영화 말이 없나 했더니 .. 이런 반전이 .. 졸라 재밌어 
															
														
														
													",1
"


														
															
															
																영화보다 박수칠뻔했습니다 
															
														
														
													
",10,짱구(hyeo****),1
"


														
															
															
																뭔가 나도 모르게 엔딩에서 박수침 ㅋ 한편의 뮤지컬을 본듯 
															
														
														
													
",10,엄마칙까칙까해조(nice****),1
"
관람객




																		휴잭맨은 정말 빛이났고 한명도 묻히는 캐릭터없이각자의 역할이 다 빛났어요 보통 뮤지컬영화관람하면 수록곡중 2~ 3곡 정도만 좋다고 느끼는데 전체적으로 다 좋아요 ㅠㅠ발을 가만히 둘수가 없었어요 일어나서 춤추고싶더라구...
																	


",10,"


																		휴잭맨은 정말 빛이났고 한명도 묻히는 캐릭터없이각자의 역할이 다 빛났어요 보통 뮤지컬영화관람하면 수록곡중 2~ 3곡 정도만 좋다고 느끼는데 전체적으로 다 좋아요 ㅠㅠ발을 가만히 둘수가 없었어요 일어나서 춤추고싶더라구...
																	

",1
"




																		재미있게 보고 나온 후 알게된 사실은 영화의 실제 주인공인 P.T. 은 영화와는 정 반대로 악명높은 인종차별 / 성차별 / 장애차별 / 동물학대 가해자였다고 합니다. 맨중의맨 휴잭맨을 믿고 그저 재밌게 관람하고 나왔...
																	


",1,"

																		재미있게 보고 나온 후 알게된 사실은 영화의 실제 주인공인 P.T. 은 영화와는 정 반대로 악명높은 인종차별 / 성차별 / 장애차별 / 동물학대 가해자였다고 합니다. 맨중의맨 휴잭맨을 믿고 그저 재밌게 관람하고 나왔...
																	
",1
"




																		1점도 아깝다. 휴잭맨의 미스 초이스. 실제 프릭쇼를 미화하고 단원들은 그저 사업가의 도구에 불과한. 그럼에도 진짜 가족을 만들어줬다는 소리가 나오는가? 백인을 위한 쇼. 개연성도 줄거리도 엉망진창. 자유와 행복을 ...
																	


",1,"

																		1점도 아깝다. 휴잭맨의 미스 초이스. 실제 프릭쇼를 미화하고 단원들은 그저 사업가의 도구에 불과한. 그럼에도 진짜 가족을 만들어줬다는 소리가 나오는가? 백인을 위한 쇼. 개연성도 줄거리도 엉망진창. 자유와 행복을 ...
																	
",1
"
관람객


														
															
															
																연말에 어울리는 마음이 따뜻해지는 영화였어요.노래가 정말 너무 좋아요. 강추 
															
														
														
													
",10,"
														
															
															
																연말에 어울리는 마음이 따뜻해지는 영화였어요.노래가 정말 너무 좋아요. 강추 
															
														
														
													",1
"


														
															
															
																노래는 엄청 좋지만, 전개가 너무 빨라서 당황스러움 
															
														
														
													
",7,FSN(smh1****),1
"


														
															
															
																영화값으로 볼수없는 위대한 쇼를 봤어요 행복합니당 
															
														
														
													
",10,마들레몬(joyn****),1
"


														
															
															
																보고나서도 계속 ost 를 듣게 될 정도로 좋았다 
															
														
														
													
",10,하늘나라(fbds****),1
"


														
															
															
																이런게 천만영화감인데 
															
														
														
													
",10,피아노(jasp****),1
"
관람객


														
															
															
																올해 내가 본 영화중에는 최고라 말할수 있다. 레미제라블 때와 비슷한 뮤지컬 영화만의 전율과 감동을 느꼈다 
															
														
														
													
",10,"
														
															
															
																올해 내가 본 영화중에는 최고라 말할수 있다. 레미제라블 때와 비슷한 뮤지컬 영화만의 전율과 감동을 느꼈다 
															
														
														
													",1
"
관람객




																		내 인생 영화. 영화관에서 3번이나 봤지만 3번 다 울컥하고 감동하면서 영화 다 끝난 후에도 자리에서 일어나지 못하고 여운이 가시지를 않았다. 당신에게도 못 이룬 꿈이 있다면, 꼭 봐야할 영화입니다. 지금이라도 보러...
																	


",10,"


																		내 인생 영화. 영화관에서 3번이나 봤지만 3번 다 울컥하고 감동하면서 영화 다 끝난 후에도 자리에서 일어나지 못하고 여운이 가시지를 않았다. 당신에게도 못 이룬 꿈이 있다면, 꼭 봐야할 영화입니다. 지금이라도 보러...
																	

",1
"


														
															
															
																개봉관이 생각보다 적음 진짜 내가보기엔 신과함께 보다 훨 좋은 영화인데.. 
															
														
														
													
",10,치후닛(fack****),1
"


														
															
															
																그냥 이 영화 영화관에서 평생 안 내리면 안되나요? 
															
														
														
													
",10,개념있게한마디해볼게(mini****),1
"
관람객


														
															
															
																한해를 마무리하기에 좋은 영화. 누군가에겐 감동적이고 누군가에겐 황홀함을 안겨줄 영화. 추천 
															
														
														
													
",10,"
														
															
															
																한해를 마무리하기에 좋은 영화. 누군가에겐 감동적이고 누군가에겐 황홀함을 안겨줄 영화. 추천 
															
														
														
													",1
"


														
															
															
																방금 11번째로 관람했습니다. 몇 번을 봐도 질리지 않고 오히려 감동이 배가됩니다. 메가박스 코엑스 MX관에서 본 게 신의 한 수였던 것 같습니다. 아직도 황홀하고 꿈을 꾸는 것만 같네요. 
															
														
														
													
",10,백예진(yeji****),1
"


														
															
															
																괜히 봤다.. 이 영화 때문에 마음 한켠이 계속 아린다.  처음에 아이에서 어른이 된 휴잭맨 노래에서 울컥했고  제니 린이 노래한 장면에서 소름 돋았다. 기립박수 칠뻔. 
															
														
														
													
",10,숲향기(real****),1
"


														
															
															
																1만원 내고 본 10만원짜리 뮤지컬 
															
														
														
													
",10,김민규(cowd****),1
"
관람객


														
															
															
																음악 연기 연출 스토리 모든게 완벽했던 영화였어요  이틀전에 혼자서 한번 보고 주말에 딸내미랑 또 봤는데도 감동은 더 커지는 영화네요 완전 강추예요 
															
														
														
													
",10,"
														
															
															
																음악 연기 연출 스토리 모든게 완벽했던 영화였어요  이틀전에 혼자서 한번 보고 주말에 딸내미랑 또 봤는데도 감동은 더 커지는 영화네요 완전 강추예요 
															
														
														
													",1
"


														
															
															
																아무리 바넘이 쓰레기라도 나는 이 영화를 적극추천한다 
															
														
														
													
",10,HW(douk****),1
"


														
															
															
																영화관인거 잊어버리고 박수칠뻔 
															
														
														
													
",10,마법사(mung****),1
"


														
															
															
																영화관에서 안본걸 너무너무 후회함.. 
															
														
														
													
",10,박호연(qkrg****),1
"


														
															
															
																진짜 제 인생영화입니다 재개봉....사랑합니다 
															
														
														
													
",10,김민지(apin****),1
"


														
															
															
																지상최대의영화 !!! 
															
														
														
													
",10,Ryuji(ryuj****),1
"


														
															
															
																뮤지컬같은 영화는 싫어하는데 이거보고 생각이 바꼈다 
															
														
														
													
",10,ehfk****,1
"
관람객


														
															
															
																정말 그야말로 위대했습니다. 
															
														
														
													
",10,"
														
															
															
																정말 그야말로 위대했습니다. 
															
														
														
													",1
"


														
															
															
																극중에서 휴잭맨의 공연을 자꾸 사기사기 그러는데 이런 사기라면 얼마든지 당해줄 수 있다... 
															
														
														
													
",10,우훙(yjs1****),1
"


														
															
															
																이 영화를 안 본 사람과는...대화하지 않으려 합니다.... 
															
														
														
													
",10,영서(drea****),1
"


														
															
															
																ㅋㅋ평식이 보소 ㅋ 미친 
															
														
														
													
",10,백서(hdhl****),1
"


														
															
															
																그냥 말이 필요없는 영화.... 
															
														
														
													
",10,gusg****,1
"


														
															
															
																내인생 최고의 뮤지컬 영화였다. 
															
														
														
													
",10,푸른늑대 은(pse5****),1
"
관람객


														
															
															
																너무 좋았습니다 최고다 
															
														
														
													
",10,"
														
															
															
																너무 좋았습니다 최고다 
															
														
														
													",1
"


														
															
															
																극장에서 3번, 집에서 옥수수 다운로드 후 1번, 내일 또 관람 예정; 20OOO 올해의 영화로 삼았습니다~ 감독+배우 모두에게 감사합니다! 
															
														
														
													
",10,민준아빠(nexu****),1
